
--- START OF DATA.TXT ---
5s | T:24.3 C | H:43% | Soil:0
10s | T:24.6 C | H:43% | Soil:0
15s | T:24.7 C | H:43% | Soil:0
20s | T:24.7 C | H:43% | Soil:0
25s | T:24.7 C | H:43% | Soil:0
30s | T:24.8 C | H:43% | Soil:0
35s | T:24.8 C | H:43% | Soil:0
40s | T:24.8 C | H:43% | Soil:0
45s | T:24.9 C | H:43% | Soil:0
50s | T:24.9 C | H:42% | Soil:0
55s | T:24.9 C | H:42% | Soil:0
60s | T:25.0 C | H:42% | Soil:0
65s | T:25.0 C | H:42% | Soil:0
70s | T:25.0 C | H:42% | Soil:0
75s | T:25.0 C | H:42% | Soil:0
80s | T:25.0 C | H:42% | Soil:0
85s | T:25.0 C | H:42% | Soil:0
90s | T:25.0 C | H:42% | Soil:0
95s | T:25.0 C | H:42% | Soil:0
100s | T:25.1 C | H:42% | Soil:0
105s | T:25.1 C | H:42% | Soil:0
110s | T:25.1 C | H:42% | Soil:0
115s | T:25.1 C | H:42% | Soil:0
120s | T:25.1 C | H:42% | Soil:0
125s | T:25.1 C | H:42% | Soil:0
130s | T:25.1 C | H:42% | Soil:0
135s | T:25.1 C | H:42% | Soil:0
140s | T:25.2 C | H:42% | Soil:0
5s | T:24.2 C | H:42% | Soil:0
320s; T:20.3; H:42; S:0
330s; T:20.3; H:42; S:0
340s; T:20.3; H:42; S:0
350s; T:20.3; H:42; S:0
360s; T:20.3; H:42; S:0
370s; T:20.3; H:42; S:0
380s; T:20.3; H:42; S:0
390s; T:20.3; H:42; S:0
400s; T:20.3; H:42; S:0
410s; T:20.4; H:42; S:0
420s; T:20.4; H:42; S:0
430s; T:20.4; H:42; S:0
440s; T:20.4; H:42; S:0
450s; T:20.4; H:42; S:0
460s; T:20.4; H:42; S:0
470s; T:20.4; H:42; S:0
480s; T:20.4; H:42; S:0
490s; T:20.4; H:43; S:0
500s; T:20.4; H:43; S:0
510s; T:20.5; H:43; S:0
520s; T:20.5; H:43; S:0
530s; T:20.5; H:43; S:0
540s; T:20.5; H:43; S:0
550s; T:20.5; H:42; S:0
560s; T:20.5; H:42; S:0
570s; T:20.5; H:42; S:0
580s; T:20.5; H:42; S:0
590s; T:20.5; H:42; S:0
600s; T:20.5; H:42; S:0
610s; T:20.5; H:42; S:0
620s; T:20.5; H:42; S:0
630s; T:20.5; H:42; S:0
640s; T:20.5; H:42; S:0
650s; T:20.5; H:42; S:0
660s; T:20.5; H:42; S:0
671s; T:20.5; H:42; S:0
681s; T:20.5; H:42; S:0
691s; T:20.5; H:42; S:0
701s; T:20.5; H:42; S:0
711s; T:20.5; H:42; S:0
721s; T:20.5; H:42; S:0
731s; T:20.5; H:42; S:0
741s; T:20.5; H:42; S:0
751s; T:20.5; H:42; S:0
761s; T:20.5; H:42; S:0
771s; T:20.5; H:42; S:0
781s; T:20.5; H:42; S:0
791s; T:20.5; H:42; S:0
801s; T:20.5; H:42; S:0
811s; T:20.5; H:42; S:0
821s; T:20.5; H:42; S:0
831s; T:20.5; H:42; S:0
841s; T:20.5; H:42; S:0
851s; T:20.6; H:42; S:0
861s; T:20.5; H:42; S:0
871s; T:20.4; H:42; S:0
881s; T:20.4; H:42; S:0
891s; T:20.3; H:42; S:0
901s; T:20.3; H:42; S:0
911s; T:20.3; H:42; S:0
921s; T:20.3; H:42; S:0
931s; T:20.3; H:42; S:0
941s; T:20.3; H:42; S:0
951s; T:20.4; H:42; S:0
961s; T:20.4; H:42; S:0
971s; T:20.4; H:42; S:0
981s; T:20.4; H:42; S:0
991s; T:20.4; H:42; S:0
1001s; T:20.4; H:42; S:0
1011s; T:20.4; H:42; S:0
10s; T:20.4; H:42; S:0
20s; T:20.5; H:42; S:0
30s; T:20.4; H:42; S:0
40s; T:20.5; H:42; S:0
50s; T:20.5; H:42; S:0
60s; T:20.5; H:42; S:0
70s; T:20.5; H:42; S:0
80s; T:20.5; H:42; S:0
90s; T:20.5; H:42; S:0
100s; T:20.5; H:42; S:0
110s; T:20.5; H:42; S:0
120s; T:20.5; H:42; S:0
130s; T:20.5; H:42; S:0
140s; T:20.5; H:42; S:0
150s; T:20.5; H:42; S:0
00:00:00; T:20.5; H:42; S:0
00:00:00; T:20.5; H:42; S:0
00:00:00; T:20.5; H:42; S:0
00:00:00; T:20.4; H:42; S:0
00:00:00; T:20.4; H:42; S:0
00:00:00; T:20.4; H:42; S:0
00:00:00; T:20.4; H:42; S:0

--- END OF DATA.TXT ---
